Country,City,City Link,Category,Keyword,Post_title,Link
US,fortwayne,https://fortwayne.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research - Fort Wayne,https://fortwayne.craigslist.org/evg/d/fort-wayne-need-year-olds-for-paid/7771127690.html
US,indianapolis,https://indianapolis.craigslist.org,Gigs,Marketing,Marketing Company Needs Food Truck,https://indianapolis.craigslist.org/evg/d/carmel-marketing-company-needs-food/7774470770.html
US,indianapolis,https://indianapolis.craigslist.org,Gigs,Marketing,Individuals Needed For IN Marketing Research Experience,https://indianapolis.craigslist.org/evg/d/indianapolis-individuals-needed-for-in/7774097815.html
US,cedarrapids,https://cedarrapids.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Cedar Falls",https://cedarrapids.craigslist.org/evg/d/cedar-falls-marketing-research/7768912486.html
US,desmoines,https://desmoines.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research - West Des Moines,https://desmoines.craigslist.org/evg/d/west-des-moines-need-year-olds-for-paid/7771127571.html
US,dubuque,https://dubuque.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Platteville",https://dubuque.craigslist.org/evg/d/platteville-marketing-research/7771127451.html
US,masoncity,https://masoncity.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Mason City",https://masoncity.craigslist.org/evg/d/mason-city-marketing-research/7767471559.html
US,quadcities,https://quadcities.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Davenport and Moline",https://quadcities.craigslist.org/evg/d/davenport-marketing-research/7766631819.html
US,siouxcity,https://siouxcity.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Sioux City",https://siouxcity.craigslist.org/evg/d/sioux-city-marketing-research/7771127824.html
US,siouxcity,https://siouxcity.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Spirit Lake",https://siouxcity.craigslist.org/evg/d/spirit-lake-marketing-research/7769482039.html
US,wichita,https://wichita.craigslist.org,Gigs,Marketing,Marketing Research - Wichita,https://wichita.craigslist.org/evg/d/wichita-marketing-research-wichita/7768297987.html
US,maine,https://maine.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research - Portland,https://maine.craigslist.org/evg/d/portland-need-year-olds-for-paid/7771255530.html
US,baltimore,https://baltimore.craigslist.org,Gigs,Marketing,Get Paid From Home to Give Away Free Marketing Memberships! Baltimore,https://baltimore.craigslist.org/cpg/d/baltimore-get-paid-from-home-to-give/7772802548.html
US,boston,https://boston.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Age 21-30 - Brookline,https://boston.craigslist.org/nwb/cpg/d/brookline-marketing-research/7774018353.html
US,capecod,https://capecod.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Ages 21-30 - Hyannis,https://capecod.craigslist.org/evg/d/hyannis-marketing-research-opportunity/7769829359.html
US,worcester,https://worcester.craigslist.org,Gigs,Marketing,Field Marketing Representative - Paid Daily,https://worcester.craigslist.org/lbg/d/vernon-rockville-field-marketing/7773837966.html
US,worcester,https://worcester.craigslist.org,Gigs,Marketing,Field Marketing Representative - Paid Daily,https://worcester.craigslist.org/lbg/d/vernon-rockville-field-marketing/7769629713.html
US,detroit,https://detroit.craigslist.org,Gigs,Marketing,Need 21-30 year olds for marketing research experience - Detroit Area,https://detroit.craigslist.org/okl/evg/d/bloomfield-hills-need-year-olds-for/7771250029.html
US,kalamazoo,https://kalamazoo.craigslist.org,Gigs,Marketing,Need 21-30 year olds for Paid Marketing Research Experience: Kalamazoo,https://kalamazoo.craigslist.org/evg/d/kalamazoo-need-year-olds-for-paid/7767147643.html
US,duluth,https://duluth.craigslist.org,Gigs,Marketing,"Marketing Research Opportunity, Duluth",https://duluth.craigslist.org/evg/d/duluth-marketing-research-opportunity/7769481890.html
US,minneapolis,https://minneapolis.craigslist.org,Gigs,Marketing,💻 Part-Time Job Opportunity: Help Us Test a New Marketing Strategy!,https://minneapolis.craigslist.org/hnp/cpg/d/minneapolis-part-time-job-opportunity/7772018604.html
US,minneapolis,https://minneapolis.craigslist.org,Gigs,Marketing,Marketing Research Opportunity for Ages 21-30 (Minneapolis Area),https://minneapolis.craigslist.org/hnp/evg/d/saint-paul-marketing-research/7770897474.html
